NoCiv,NoCivSuf,nomrue,OdoGener,OdoParti,OdoSpeci
2690,,Rue Cantin,Rue,,Cantin
1336,,Avenue Dupuis,Avenue,,Dupuis
855,,Rue des Érables,Rue,des,Érables
974,,Avenue Saint-Denis,Avenue,,Saint-Denis
453,,Avenue de l'Étang,Avenue,de l',Étang
355,,Place des Pluviers,Place,des,Pluviers
1911,,Rue Cedar,Rue,,Cedar
1417,,Avenue de Châteaubriant,Avenue,de,Châteaubriant
1795,,Avenue Garden,Avenue,,Garden
3458,,Rue de Champlain,Rue,de,Champlain
597,,Montée Masson,Montée,,Masson
1501,,Chemin des Anglais,Chemin,des,Anglais
1412,,Avenue Rawlinson,Avenue,,Rawlinson
3302,,Avenue de Charlevoix,Avenue,de,Charlevoix
2290,,Rue Barott,Rue,,Barott
782,,Montée Masson,Montée,,Masson
1076,,Avenue de Châteaubriant,Avenue,de,Châteaubriant
578,,Rue Andrassy,Rue,,Andrassy
1876,,Montée du Domaine,Montée,du,Domaine
351,,Terrasse John,Terrasse,,John
839,,Chemin Pincourt,Chemin,,Pincourt
247,,Montée Masson,Montée,,Masson
927,,Rue des Fontaines,Rue,des,Fontaines
1558,,Avenue de Châteaubriant,Avenue,de,Châteaubriant
185,,Rue de Boissy,Rue,de,Boissy
313,,Place des Pluviers,Place,des,Pluviers
1072,,Rue de Charlesbourg,Rue,de,Charlesbourg
1438,,Boulevard Raymond,Boulevard,,Raymond
441,,Rue Caron,Rue,,Caron
691,,Avenue de l'Étang,Avenue,de l',Étang
129,,Rue South,Rue,,South
1522,,Rue de Côte-d'Ivoire,Rue,de,Côte-d'Ivoire
2775,,Avenue Bourque,Avenue,,Bourque
431,,Place du Louvre,Place,du,Louvre
301,,Avenue de l'Étang,Avenue,de l',Étang
649,,Rue de Pompadour,Rue,de,Pompadour
1340,,Avenue du Mistral,Avenue,du,Mistral
386,,Avenue Crépeau,Avenue,,Crépeau
250,,Place de Châtel,Place,de,Châtel
1381,,Avenue de Chambéry,Avenue,de,Chambéry
1889,,Avenue de la Gare,Avenue,de la,Gare
2012,,Rue Woodfern,Rue,,Woodfern
2484,,Rue de Limoges,Rue,de,Limoges
3315,,Rue Saint-Martin,Rue,,Saint-Martin
1658,,Avenue Phillips,Avenue,,Phillips
1421,,Avenue Mathieu,Avenue,,Mathieu
1379,,Rue de Dieppe,Rue,de,Dieppe
387,,Place des Pluviers,Place,des,Pluviers
2534,,Rue de Carnac,Rue,de,Carnac
733,,Rue des Alpes,Rue,des,Alpes
1170,,Chemin des Anglais,Chemin,des,Anglais
2528,,Avenue de la Gare,Avenue,de la,Gare
1965,,Montée du Domaine,Montée,du,Domaine
2588,,Rue de Limoges,Rue,de,Limoges
110,,Rue de Saint-Gabriel,Rue,de,Saint-Gabriel
1300,,Rue Pine,Rue,,Pine
3095,,Avenue Bourque,Avenue,,Bourque
1897,,Avenue Saint-Jean,Avenue,,Saint-Jean
1004,,Avenue Dupuis,Avenue,,Dupuis
408,,Terrasse Garden,Terrasse,,Garden
505,,Rue d'Alsace,Rue,d',Alsace
2775,,Rue Desportes,Rue,,Desportes
636,,Rue de Pompadour,Rue,de,Pompadour
2793,,Rue de Sancerre,Rue,de,Sancerre
1236,,Rue Lincoln,Rue,,Lincoln
1091,,Avenue Victor-Hugo,Avenue,,Victor-Hugo
841,,Rue des Violettes,Rue,des,Violettes
325,,Rue de Margaux,Rue,de,Margaux
3700,,Chemin Saint-Henri,Chemin,,Saint-Henri
1070,,Rue des Fontaines,Rue,des,Fontaines
2880,,Rue Alexandre-Dumas,Rue,,Alexandre-Dumas
1521,,Chemin des Anglais,Chemin,des,Anglais
1344,,Rue de Léry,Rue,de,Léry
220,,Montée Masson,Montée,,Masson
1541,,Rue Poplar,Rue,,Poplar
572,A,Chemin Sainte-Marie,Chemin,,Sainte-Marie
2796,,Place Alain,Place,,Alain
1026,,Rue Lapointe,Rue,,Lapointe
1114,,Avenue de Châteaubriant,Avenue,de,Châteaubriant
3567,,Chemin Saint-Philippe,Chemin,,Saint-Philippe
752,,Croissant du Grand-Duc,Croissant,du,Grand-Duc
1600,,Avenue Phillips,Avenue,,Phillips
