NoCiv,NoCivSuf,Nomrue,OdoGener,OdoParti,OdoSpeci,join_key,code_postal
2690,,Rue Cantin,Rue,,Cantin,2690 RUE CANTIN,
1336,,Avenue Dupuis,Avenue,,Dupuis,1336 AV DUPUIS,
855,,Rue des Érables,Rue,des,Érables,855 RUE DES ERABLES,
974,,Avenue Saint-Denis,Avenue,,Saint-Denis,974 AV ST-DENIS,
453,,Avenue de l'Étang,Avenue,de l',Étang,453 AV DE L'ETANG,
355,,Place des Pluviers,Place,des,Pluviers,355 PLACE DES PLUVIERS,
1911,,Rue Cedar,Rue,,Cedar,1911 RUE CEDAR,
1417,,Avenue de Châteaubriant,Avenue,de,Châteaubriant,1417 AV DE CHATEAUBRIANT,
1795,,Avenue Garden,Avenue,,Garden,1795 AV GARDEN,
3458,,Rue de Champlain,Rue,de,Champlain,3458 RUE DE CHAMPLAIN,
597,,Montée Masson,Montée,,Masson,597 MTEE MASSON,J7K 2L6
1501,,Chemin des Anglais,Chemin,des,Anglais,1501 CH DES ANGLAIS,
1412,,Avenue Rawlinson,Avenue,,Rawlinson,1412 AV RAWLINSON,
3302,,Avenue de Charlevoix,Avenue,de,Charlevoix,3302 AV DE CHARLEVOIX,
2290,,Rue Barott,Rue,,Barott,2290 RUE BAROTT,
782,,Montée Masson,Montée,,Masson,782 MTEE MASSON,
1076,,Avenue de Châteaubriant,Avenue,de,Châteaubriant,1076 AV DE CHATEAUBRIANT,
578,,Rue Andrassy,Rue,,Andrassy,578 RUE ANDRASSY,
1876,,Montée du Domaine,Montée,du,Domaine,1876 MTEE DU DOMAINE,
351,,Terrasse John,Terrasse,,John,351 TERRASSE JOHN,
839,,Chemin Pincourt,Chemin,,Pincourt,839 CH PINCOURT,
247,,Montée Masson,Montée,,Masson,247 MTEE MASSON,
927,,Rue des Fontaines,Rue,des,Fontaines,927 RUE DES FONTAINES,
1558,,Avenue de Châteaubriant,Avenue,de,Châteaubriant,1558 AV DE CHATEAUBRIANT,
185,,Rue de Boissy,Rue,de,Boissy,185 RUE DE BOISSY,
313,,Place des Pluviers,Place,des,Pluviers,313 PLACE DES PLUVIERS,
1072,,Rue de Charlesbourg,Rue,de,Charlesbourg,1072 RUE DE CHARLESBOURG,
1438,,Boulevard Raymond,Boulevard,,Raymond,1438 BOUL RAYMOND,
441,,Rue Caron,Rue,,Caron,441 RUE CARON,
691,,Avenue de l'Étang,Avenue,de l',Étang,691 AV DE L'ETANG,
129,,Rue South,Rue,,South,129 RUE SOUTH,
1522,,Rue de Côte-d'Ivoire,Rue,de,Côte-d'Ivoire,1522 RUE DE COTE-D'IVOIRE,
2775,,Avenue Bourque,Avenue,,Bourque,2775 AV BOURQUE,
431,,Place du Louvre,Place,du,Louvre,431 PLACE DU LOUVRE,
301,,Avenue de l'Étang,Avenue,de l',Étang,301 AV DE L'ETANG,
649,,Rue de Pompadour,Rue,de,Pompadour,649 RUE DE POMPADOUR,
1340,,Avenue du Mistral,Avenue,du,Mistral,1340 AV DU MISTRAL,
386,,Avenue Crépeau,Avenue,,Crépeau,386 AV CREPEAU,
250,,Place de Châtel,Place,de,Châtel,250 PLACE DE CHATEL,
