NoCiv,NoCivSuf,nomrue,OdoGener,OdoParti,OdoSpeci,join_key,code_postal,code_postal_trouve
2690,,Rue Cantin,Rue,,Cantin,2690 RUE CANTIN,,J7K 2L8
1336,,Avenue Dupuis,Avenue,,Dupuis,1336 AV DUPUIS,,J7K 1P2
855,,Rue des Érables,Rue,des,Érables,855 RUE DES ERABLES,,J7L 1V7
974,,Avenue Saint-Denis,Avenue,,Saint-Denis,974 AV ST-DENIS,,J7K 1P2
453,,Avenue de l'Étang,Avenue,de l',Étang,453 AV DE L'ETANG,,J7K 2L5
355,,Place des Pluviers,Place,des,Pluviers,355 PLACE DES PLUVIERS,,J7K 2L6
1911,,Rue Cedar,Rue,,Cedar,1911 RUE CEDAR,,J7L 1V7
1417,,Avenue de Châteaubriant,Avenue,de,Châteaubriant,1417 AV DE CHATEAUBRIANT,,J7L 1A7
1795,,Avenue Garden,Avenue,,Garden,1795 AV GARDEN,,J7L 1V7
3458,,Rue de Champlain,Rue,de,Champlain,3458 RUE DE CHAMPLAIN,,J7K 1P2
1501,,Chemin des Anglais,Chemin,des,Anglais,1501 CH DES ANGLAIS,,J6X 4H2
1412,,Avenue Rawlinson,Avenue,,Rawlinson,1412 AV RAWLINSON,,J7L 1V7
3302,,Avenue de Charlevoix,Avenue,de,Charlevoix,3302 AV DE CHARLEVOIX,,J7K 1P2
2290,,Rue Barott,Rue,,Barott,2290 RUE BAROTT,,J7L 1V7
782,,Montée Masson,Montée,,Masson,782 MTEE MASSON,,J7K 3B6
1076,,Avenue de Châteaubriant,Avenue,de,Châteaubriant,1076 AV DE CHATEAUBRIANT,,J7L 1A7
578,,Rue Andrassy,Rue,,Andrassy,578 RUE ANDRASSY,,J6X 4J8
1876,,Montée du Domaine,Montée,du,Domaine,1876 MTEE DU DOMAINE,,J7L 0H4
351,,Terrasse John,Terrasse,,John,351 TERRASSE JOHN,,J7L 1V7
839,,Chemin Pincourt,Chemin,,Pincourt,839 CH PINCOURT,,J7L 1V7
247,,Montée Masson,Montée,,Masson,247 MTEE MASSON,,J7K 3B4
927,,Rue des Fontaines,Rue,des,Fontaines,927 RUE DES FONTAINES,,J7K 0T4
1558,,Avenue de Châteaubriant,Avenue,de,Châteaubriant,1558 AV DE CHATEAUBRIANT,,J7K 2L8
185,,Rue de Boissy,Rue,de,Boissy,185 RUE DE BOISSY,,J7K 0T4
313,,Place des Pluviers,Place,des,Pluviers,313 PLACE DES PLUVIERS,,J7K 2L6
1072,,Rue de Charlesbourg,Rue,de,Charlesbourg,1072 RUE DE CHARLESBOURG,,J7K 1P2
1438,,Boulevard Raymond,Boulevard,,Raymond,1438 BOUL RAYMOND,,J7L 1V7
441,,Rue Caron,Rue,,Caron,441 RUE CARON,,J7K 2L6
691,,Avenue de l'Étang,Avenue,de l',Étang,691 AV DE L'ETANG,,J7K 2L5
129,,Rue South,Rue,,South,129 RUE SOUTH,,J6X 4H3
1522,,Rue de Côte-d'Ivoire,Rue,de,Côte-d'Ivoire,1522 RUE DE COTE-D'IVOIRE,,J6X 4H3
2775,,Avenue Bourque,Avenue,,Bourque,2775 AV BOURQUE,,J7K 2L5
431,,Place du Louvre,Place,du,Louvre,431 PLACE DU LOUVRE,,J7K 0T4
301,,Avenue de l'Étang,Avenue,de l',Étang,301 AV DE L'ETANG,,J7K 0T4
649,,Rue de Pompadour,Rue,de,Pompadour,649 RUE DE POMPADOUR,,J7K 0T4
1340,,Avenue du Mistral,Avenue,du,Mistral,1340 AV DU MISTRAL,,J7L 1A7
386,,Avenue Crépeau,Avenue,,Crépeau,386 AV CREPEAU,,J7K 2L5
250,,Place de Châtel,Place,de,Châtel,250 PLACE DE CHATEL,,J7K 0T4
1381,,Avenue de Chambéry,Avenue,de,Chambéry,1381 AV DE CHAMBERY,,J7K 2L8
1889,,Avenue de la Gare,Avenue,de la,Gare,1889 AV DE LA GARE,,J7K 1Y4
2012,,Rue Woodfern,Rue,,Woodfern,2012 RUE WOODFERN,,J7L 1A7
2484,,Rue de Limoges,Rue,de,Limoges,2484 RUE DE LIMOGES,,J7K 2L8
3315,,Rue Saint-Martin,Rue,,Saint-Martin,3315 RUE ST-MARTIN,,J7K 1P2
1658,,Avenue Phillips,Avenue,,Phillips,1658 AV PHILLIPS,,J6X 4H2
1421,,Avenue Mathieu,Avenue,,Mathieu,1421 AV MATHIEU,,J7K 2L8
1379,,Rue de Dieppe,Rue,de,Dieppe,1379 RUE DE DIEPPE,,J7K 2L8
387,,Place des Pluviers,Place,des,Pluviers,387 PLACE DES PLUVIERS,,J7K 2L6
2534,,Rue de Carnac,Rue,de,Carnac,2534 RUE DE CARNAC,,J7K 2L8
733,,Rue des Alpes,Rue,des,Alpes,733 RUE DES ALPES,,J7M 0A1
1170,,Chemin des Anglais,Chemin,des,Anglais,1170 CH DES ANGLAIS,,J7L 1V7
2528,,Avenue de la Gare,Avenue,de la,Gare,2528 AV DE LA GARE,,J7K 0Y4
1965,,Montée du Domaine,Montée,du,Domaine,1965 MTEE DU DOMAINE,,J7L 0H4
2588,,Rue de Limoges,Rue,de,Limoges,2588 RUE DE LIMOGES,,J7K 2L8
110,,Rue de Saint-Gabriel,Rue,de,Saint-Gabriel,110 RUE DE ST-GABRIEL,,J7L 1A7
1300,,Rue Pine,Rue,,Pine,1300 RUE PINE,,J6X 4H3
3095,,Avenue Bourque,Avenue,,Bourque,3095 AV BOURQUE,,J7K 1Y4
1897,,Avenue Saint-Jean,Avenue,,Saint-Jean,1897 AV ST-JEAN,,J7K 2L8
1004,,Avenue Dupuis,Avenue,,Dupuis,1004 AV DUPUIS,,J7K 1P2
408,,Terrasse Garden,Terrasse,,Garden,408 TERRASSE GARDEN,,J7L 1V7
505,,Rue d'Alsace,Rue,d',Alsace,505 RUE D'ALSACE,,J7L 1V7
2775,,Rue Desportes,Rue,,Desportes,2775 RUE DESPORTES,,J7K 2L8
636,,Rue de Pompadour,Rue,de,Pompadour,636 RUE DE POMPADOUR,,J7K 0T4
2793,,Rue de Sancerre,Rue,de,Sancerre,2793 RUE DE SANCERRE,,J7K 2L8
1236,,Rue Lincoln,Rue,,Lincoln,1236 RUE LINCOLN,,J7L 1A7
1091,,Avenue Victor-Hugo,Avenue,,Victor-Hugo,1091 AV VICTOR-HUGO,,J7K 3T7
841,,Rue des Violettes,Rue,des,Violettes,841 RUE DES VIOLETTES,,J7L 1V7
325,,Rue de Margaux,Rue,de,Margaux,325 RUE DE MARGAUX,,J7K 0T4
3700,,Chemin Saint-Henri,Chemin,,Saint-Henri,3700 CH ST-HENRI,,J0K 3H0
1070,,Rue des Fontaines,Rue,des,Fontaines,1070 RUE DES FONTAINES,,J7K 0T4
2880,,Rue Alexandre-Dumas,Rue,,Alexandre-Dumas,2880 RUE ALEXANDRE-DUMAS,,J7K 3T7
1521,,Chemin des Anglais,Chemin,des,Anglais,1521 CH DES ANGLAIS,,J6X 4H2
1344,,Rue de Léry,Rue,de,Léry,1344 RUE DE LERY,,J7L 1V7
1541,,Rue Poplar,Rue,,Poplar,1541 RUE POPLAR,,J7L 1V7
572,A,Chemin Sainte-Marie,Chemin,,Sainte-Marie,572 CH STE-MARIE,,J7L 1V7
2796,,Place Alain,Place,,Alain,2796 PLACE ALAIN,,J7K 3T7
1026,,Rue Lapointe,Rue,,Lapointe,1026 RUE LAPOINTE,,J7K 3T7
1114,,Avenue de Châteaubriant,Avenue,de,Châteaubriant,1114 AV DE CHATEAUBRIANT,,J7L 1A7
3567,,Chemin Saint-Philippe,Chemin,,Saint-Philippe,3567 CH ST-PHILIPPE,,J7K 1P2
752,,Croissant du Grand-Duc,Croissant,du,Grand-Duc,752 CROISSANT DU GRAND-DUC,,J7K 2L5
1600,,Avenue Phillips,Avenue,,Phillips,1600 AV PHILLIPS,,J6X 4H3
2063,,7e Avenue,Avenue,,7e,2063 7E AV,,J7L 1A7
310,,Rue Martel,Rue,,Martel,310 RUE MARTEL,,J7L 1V7
1229,,Rue d'Anjou,Rue,d',Anjou,1229 RUE D'ANJOU,,J7K 2L8
299,,Avenue Crépeau,Avenue,,Crépeau,299 AV CREPEAU,,J7K 2L5
2249,,Avenue de la Gare,Avenue,de la,Gare,2249 AV DE LA GARE,,J7K 0K9
2319,,Chemin Saint-Henri,Chemin,,Saint-Henri,2319 CH ST-HENRI,,J7K 2L8
1200,,Croissant Augusta,Croissant,,Augusta,1200 CROISSANT AUGUSTA,,J7L 1A7
682,,Rue de Montmartre,Rue,de,Montmartre,682 RUE DE MONTMARTRE,,NON TROUVÉ
1114,,Avenue Dupuis,Avenue,,Dupuis,1114 AV DUPUIS,,J7K 1P2
2961,,Rue Dugas,Rue,,Dugas,2961 RUE DUGAS,,J7K 1P2
98,,Chemin Pincourt,Chemin,,Pincourt,98 CH PINCOURT,,J6X 4J8
1368,,Place Saint-Jean,Place,,Saint-Jean,1368 PLACE ST-JEAN,,J7K 2L8
2010,,Avenue de la Gare,Avenue,de la,Gare,2010 AV DE LA GARE,,J7K 0K9
3275,,Avenue de la Gare,Avenue,de la,Gare,3275 AV DE LA GARE,,J7K 0Y4
2690,,Rue des Faucons,Rue,des,Faucons,2690 RUE DES FAUCONS,,J7K 0T4
772,,Rue des Érables,Rue,des,Érables,772 RUE DES ERABLES,,J7L 1V7
325,,Place Corbeil,Place,,Corbeil,325 PLACE CORBEIL,,J7K 0K9
3729,,Rue Gauvreau,Rue,,Gauvreau,3729 RUE GAUVREAU,,J6X 4J8
1395,,Boulevard Raymond,Boulevard,,Raymond,1395 BOUL RAYMOND,,J7L 1V7
1205,,Avenue de Châteaubriant,Avenue,de,Châteaubriant,1205 AV DE CHATEAUBRIANT,,J7L 1A7
2873,,Rue de Calais,Rue,de,Calais,2873 RUE DE CALAIS,,J7K 2L8
2220,,Rue Barott,Rue,,Barott,2220 RUE BAROTT,,J7L 1V7
690,,Place de la Brise,Place,de la,Brise,690 PLACE DE LA BRISE,,J7L 1A7
3037,,Boulevard de Mascouche,Boulevard,de,Mascouche,3037 BOUL DE MASCOUCHE,,J7K 1Y4
2053,,Avenue de la Gare,Avenue,de la,Gare,2053 AV DE LA GARE,,J7K 0K9
1146,,Chemin Pincourt,Chemin,,Pincourt,1146 CH PINCOURT,,J7L 1V7
1235,,Rue du Havre,Rue,du,Havre,1235 RUE DU HAVRE,,J7L 1A7
