@id,@type,addr:housenumber,addr:street,addr:postcode
1851673333,node,10,Montée Masson,
1851673359,node,1000,Croissant Georges-Delfosse,
1851673364,node,1000,Place Rimbaud,
1851673365,node,1000,Rue Marguerite-Duras,
1851673366,node,1001,Rue Lapointe,
1851673367,node,1001,Rue Marguerite-Duras,
1851673370,node,1002,Avenue Saint-Luc,
1851673373,node,1002,Rue Lapointe,
1851673388,node,1003,Avenue Saint-Denis,
1851673391,node,1003,Croissant Georges-Delfosse,
1851673392,node,1004,Avenue Saint-Denis,
1851673393,node,1005,Rue Le Gardeur,
1851673394,node,1005,Rue de l'Amour,
1851673395,node,1006,Avenue Dupuis,
1851673409,node,1007,Rue Saint-Maurice,
1851673413,node,1008,Avenue Saint-Denis,
1851673417,node,1008,Avenue de Charny,
1851673418,node,1008,Place de Colville,
1851673419,node,1008,Rue Le Gardeur,
1851673420,node,1009,Avenue Dupuis,
1851673421,node,1009,Rue Le Gardeur,
1851673436,node,1009,Rue de l'Amour,
1851673441,node,1010,Avenue Dupuis,
1851673444,node,1011,Place de Lille,
1851673445,node,1011,Rue Le Gardeur,
1851673446,node,1012,Rue Amicale,
1851673447,node,1013,Avenue Saint-Denis,
1851673459,node,1013,Rue Marguerite-Duras,
1851673463,node,1014,Avenue Saint-Luc,
1851673467,node,1015,Avenue Saint-Denis,
1851673468,node,1015,Avenue Saint-Luc,
1851673469,node,1016,Avenue de Charny,
1851673470,node,1017,Avenue de Charny,
1851673474,node,1017,Place de Lille,
1851673496,node,1018,Rue Le Gardeur,
1851673503,node,1018,Rue Le Gardeur,
1851673510,node,1019,Avenue Dupuis,
1851673514,node,1019,Avenue Saint-Luc,
1851673518,node,1019,Place de Colville,
1851673522,node,1022,Avenue Saint-Denis,
1851673536,node,1023,Rue de l'Amour,
1851673542,node,1025,Montée Masson,
1851673548,node,1026,Avenue Saint-Luc,
1851673555,node,1029,Rue de l'Amour,
1851673561,node,1030,Rue de Berthier,
1851673565,node,1031,Rue Lamartine,
1851673574,node,1032,Avenue de Charny,
1851673580,node,1035,Avenue de Charny,
1851673587,node,1035,Chemin de la Cabane-Ronde,
1851673594,node,1035,Montée Masson,
1851673600,node,1037,Avenue Saint-Luc,
1851673606,node,1038,Avenue Saint-Luc,
1851673612,node,1040,Rue Marguerite-Duras,
1851673618,node,1040,Rue de Charlesbourg,
1851673624,node,1041,Avenue Saint-Luc,
1851673630,node,1045,Rue de l'Amour,
1851673637,node,1047,Rue Lamartine,
1851673644,node,1049,Rue de l'Amour,
1851673649,node,1050,Avenue Saint-Luc,
1851673662,node,1052,Rue de Berthier,
1851673668,node,1053,Montée Masson,
1851673675,node,1053,Place de Lille,
1851673683,node,1055,Rue Lamartine,
1851673692,node,1056,Rue de Berthier,
1851673700,node,1059,Place de Lille,
